company_id,client_display,client_normalized
72e728aa-c97d-5657-9803-4b0541184ccd,Tech Solutions Ltda,tech
a7d722c7-4e56-5cf0-a5ea-6a939477e0ec,Inovacorp,inovacorp
7bf072e6-923c-524e-9671-49ef125f97a1,Alphatech,alphatech
1230c186-2f8e-5d52-ba45-c2c164f6b0a8,Globalsoft,globalsoft
4090f692-fd6f-5c35-a783-b7601dfdf711,Nextgen Solutions,nextgen
7b3bf4bd-1c5a-5507-8e1c-14b447520de4,Dataworks,dataworks
2014747e-1ab9-5057-9b25-b8b2635a7528,Cloudbridge,cloudbridge
6b888dff-13a3-5a2e-a93f-3f22f43520cf,Smartcorp,smartcorp
7e28a992-503e-5bc3-9a17-a2e11cd56b8a,Visiontech,visiontech
66bb574f-1f64-5206-8f0e-46b6c70ec9ae,Quantumsoft,quantumsoft
97efbca8-1589-56b2-a70b-a23fa6fe7e48,Nextwave Solutions,nextwave
a993e186-ff6c-5c8d-a333-95880a82a92a,Technova,technova
d1bb8588-c54d-5e3e-8dcd-4b752baf74ef,Inovatech,inovatech
761f406c-dfae-5507-87c3-b0aa1127c5f7,Datasys,datasys
080b18fc-54a6-5184-9c8c-c329ee9aac7b,Cloudsoft,cloudsoft
c0770da6-fde0-5cc5-80c1-31ab463c6920,Smarttech,smarttech
b98db0be-30e4-5d12-a358-1ede7fd52621,Visioncorp,visioncorp
8e706490-7727-57d7-b1ce-ac13120478ef,Quantum Solutions,quantum
139a0a42-2085-5db8-9dba-eaa786da6dbb,Nexttech,nexttech
995d9a7d-a1c7-52ab-b300-721ae01fcd8d,Datasoft,datasoft
b40f63db-3418-533c-afd6-119ef658cf3f,Cloudworks,cloudworks
d2af1e23-1cee-5a58-82ae-15d56b18ecea,Smart Solutions,smart
ab47cf9f-314a-5415-bae5-720dc1a5ecf1,Visiondata,visiondata
3d8f4d77-f569-5127-85c5-19a3f51590ff,Quantumtech,quantumtech
ece64e65-34c8-5bec-a527-5b2f4b616c27,Nextdata,nextdata
61666c40-da51-585a-8a91-72ef3c154dfd,Techbridge,techbridge
2a276362-47c0-5f58-b7ef-24f5eb8bfd0f,Inova Solutions,inova
5802f72c-f112-5b6b-b79e-5f20e8750645,Databridge,databridge
b55464e4-e8cf-5d55-89aa-3447ce932622,Cloudnova,cloudnova
8f386675-687b-5ed5-b379-88b6a37bd355,Smartdata,smartdata
cdf93091-6603-508d-894e-e10e50cb3c64,Vision Solutions,vision
918b7ead-3164-5ba3-8655-f6857175549e,Quantumcorp,quantumcorp
e259292f-ab8c-5442-94d3-cf4380aef0ab,Nextbridge,nextbridge
c83e272e-aeb7-5330-af27-e4105590ac0e,Techdata,techdata
a8c28cea-a2ed-5dc5-bf2f-07467c8e5056,Inovabridge,inovabridge
d2d4e2fd-03d2-5576-a72b-59a7f783b0f2,Smartworks,smartworks
d6252d9d-df3c-5b81-ac78-033fbd198e6f,Nextsoft,nextsoft
15221495-82fe-5acd-94b2-27889138dfda,Techcorp,techcorp
59c41747-04b8-5055-9d82-55b691cd8890,Inovadata,inovadata
60abfee4-90fc-5c55-8c1d-f4394cc6bd0c,Datatech,datatech
b2c467e5-fca3-55e9-b7b8-cea840826b33,Cloudsolutions,cloudsolutions
4f86d7ed-68d2-505d-9e0a-fe869ca82cf2,Smartbridge,smartbridge
4817b0e2-45cd-5c59-8d7b-753d96debcd1,Cloudtech,cloudtech
