id,contract_value,negotiation_duration_days,interactions,average_sentiment,status,lead_id
1,62116,55,11,positive,,1.0
2,97192,62,19,negative,,2.0
3,39610,43,8,positive,,3.0
4,96693,20,10,positive,,4.0
5,84505,27,25,positive,,5.0
6,45566,45,21,neutral,,6.0
7,68916,61,7,positive,,7.0
8,69369,67,15,positive,,8.0
9,46207,31,12,positive,,9.0
10,87540,31,13,negative,,10.0
11,66726,46,19,neutral,,11.0
12,95971,35,8,negative,,12.0
13,108073,41,8,negative,,13.0
14,53693,69,14,positive,,14.0
15,72592,58,7,negative,,15.0
16,61735,67,18,neutral,,16.0
17,113573,62,15,negative,,17.0
18,75114,69,15,positive,,18.0
19,54241,58,25,neutral,,19.0
20,115056,65,9,neutral,,20.0
21,28935,66,14,neutral,,21.0
22,26425,61,23,neutral,,22.0
23,71344,57,25,positive,,23.0
24,39180,20,11,positive,,24.0
25,43302,25,21,negative,,25.0
26,108687,65,14,neutral,,26.0
27,26034,45,20,positive,,27.0
28,61463,28,15,positive,,28.0
29,114367,55,16,neutral,,29.0
30,38055,37,7,positive,,30.0
31,76664,48,11,neutral,,31.0
32,101986,65,20,negative,,32.0
33,100998,62,17,neutral,,33.0
34,88977,62,20,positive,,34.0
35,64562,44,22,positive,,35.0
36,80885,42,25,neutral,,6.0
37,119492,25,22,positive,,37.0
38,38200,28,22,positive,,9.0
39,96914,38,8,neutral,,10.0
40,20867,44,18,positive,,40.0
41,88950,22,22,neutral,,41.0
42,23081,62,17,neutral,,42.0
43,77905,62,8,negative,,43.0
44,100219,43,7,negative,,44.0
45,58939,24,14,neutral,,45.0
46,93696,29,5,neutral,,23.0
47,59385,35,21,neutral,,18.0
48,65122,65,24,neutral,,19.0
49,20358,28,23,positive,,20.0
50,62580,59,24,negative,,50.0
51,45000,39,12,neutral,,
52,72000,51,16,positive,,
53,28000,29,8,negative,,
