lead_id,lead_score,sentiment,final_score,next_best_action
1.0,0.873,neutral,0.761,Avançar para proposta/comercial
3.0,0.127,neutral,0.239,Nutrir com conteúdo ou descartar lead
4.0,0.873,neutral,0.761,Avançar para proposta/comercial
7.0,0.127,neutral,0.239,Nutrir com conteúdo ou descartar lead
8.0,0.873,neutral,0.761,Avançar para proposta/comercial
11.0,0.873,positive,0.911,Avançar para proposta/comercial
14.0,0.873,neutral,0.761,Avançar para proposta/comercial
15.0,0.873,positive,0.911,Avançar para proposta/comercial
18.0,0.127,neutral,0.239,Nutrir com conteúdo ou descartar lead
21.0,0.873,positive,0.911,Avançar para proposta/comercial
22.0,0.873,positive,0.911,Avançar para proposta/comercial
25.0,0.873,neutral,0.761,Avançar para proposta/comercial
28.0,0.127,positive,0.389,Nutrir com conteúdo ou descartar lead
29.0,0.873,positive,0.911,Avançar para proposta/comercial
32.0,0.873,neutral,0.761,Avançar para proposta/comercial
35.0,0.127,neutral,0.239,Nutrir com conteúdo ou descartar lead
36.0,0.873,neutral,0.761,Avançar para proposta/comercial
39.0,0.873,neutral,0.761,Avançar para proposta/comercial
42.0,0.127,neutral,0.239,Nutrir com conteúdo ou descartar lead
43.0,0.873,neutral,0.761,Avançar para proposta/comercial
46.0,0.873,neutral,0.761,Avançar para proposta/comercial
49.0,0.127,neutral,0.239,Nutrir com conteúdo ou descartar lead
50.0,0.873,positive,0.911,Avançar para proposta/comercial
